eKE/eV,Raw,eKE/eV,Fit,eKE/eV,Retrieved
1.67564,0.29704,3.99,8.23E-08,3.79,2.14E-06
1.67191,0.3034,4,7.45E-08,3.8,1.95E-06
1.6682,0.30865,4.01,6.67E-08,3.81,1.77E-06
1.6645,0.31793,4.02,6.00E-08,3.82,1.61E-06
1.6608,0.31633,4.03,5.43E-08,3.83,1.47E-06
1.65711,0.32221,4.04,4.86E-08,3.84,1.34E-06
1.65343,0.29519,4.05,4.42E-08,3.85,1.21E-06
1.64976,0.33809,4.06,3.98E-08,3.86,1.10E-06
1.6461,0.33883,4.07,3.57E-08,3.87,1.00E-06
1.64244,0.32038,4.08,3.19E-08,3.88,9.11E-07
1.6388,0.3543,4.09,2.86E-08,3.89,8.28E-07
1.63516,0.32528,4.1,2.60E-08,3.9,7.51E-07
1.63152,0.34589,4.11,2.32E-08,3.91,6.82E-07
1.6279,0.32436,4.12,2.10E-08,3.92,6.18E-07
1.62428,0.38796,4.13,1.88E-08,3.93,5.61E-07
1.62067,0.37937,4.14,1.68E-08,3.94,5.08E-07
1.61707,0.35068,4.15,1.49E-08,3.95,4.60E-07
1.61348,0.37274,4.16,1.36E-08,3.96,4.17E-07
1.6099,0.36584,4.17,1.21E-08,3.97,3.78E-07
1.60632,0.34465,4.18,1.08E-08,3.98,3.42E-07
1.60275,0.37815,4.19,9.82E-09,3.99,3.09E-07
1.59919,0.3724,4.2,8.70E-09,4,2.80E-07
1.59563,0.37021,4.21,7.87E-09,4.01,2.53E-07
1.59209,0.3818,4.22,7.02E-09,4.02,2.29E-07
1.58855,0.38863,4.23,6.27E-09,4.03,2.07E-07
1.58502,0.37502,4.24,5.62E-09,4.04,1.87E-07
1.58149,0.36316,4.25,5.02E-09,4.05,1.69E-07
1.57798,0.38692,4.26,4.52E-09,4.06,1.52E-07
1.57447,0.41744,4.27,4.06E-09,4.07,1.37E-07
1.57097,0.39526,4.28,3.59E-09,4.08,1.24E-07
1.56747,0.39429,4.29,3.23E-09,4.09,1.12E-07
1.56399,0.3994,4.3,2.85E-09,4.1,1.01E-07
1.56051,0.41982,4.31,2.55E-09,4.11,9.09E-08
1.55704,0.42562,4.32,2.29E-09,4.12,8.19E-08
1.55357,0.43635,4.33,2.06E-09,4.13,7.38E-08
1.55012,0.41514,4.34,1.82E-09,4.14,6.64E-08
1.54667,0.4,4.35,1.62E-09,4.15,5.98E-08
1.54323,0.41692,4.36,1.44E-09,4.16,5.38E-08
1.53979,0.44319,4.37,1.29E-09,4.17,4.84E-08
1.53637,0.42677,4.38,1.15E-09,4.18,4.35E-08
1.53295,0.42954,4.39,1.02E-09,4.19,3.91E-08
1.52954,0.44728,4.4,9.15E-10,4.2,3.51E-08
1.52613,0.45322,4.41,8.11E-10,4.21,3.16E-08
1.52273,0.4179,4.42,7.23E-10,4.22,2.83E-08
1.51934,0.44951,4.43,6.40E-10,4.23,2.54E-08
1.51596,0.4555,4.44,5.68E-10,4.24,2.28E-08
1.51258,0.45458,4.45,5.12E-10,4.25,2.05E-08
1.50921,0.45491,4.46,4.50E-10,4.26,1.84E-08
1.50585,0.44766,4.47,4.01E-10,4.27,1.65E-08
1.5025,0.48219,4.48,3.57E-10,4.28,1.47E-08
1.49915,0.45463,4.49,3.13E-10,4.29,1.32E-08
1.49581,0.4855,4.5,2.79E-10,4.3,1.18E-08
1.49248,0.47569,4.51,2.48E-10,4.31,1.06E-08
1.48915,0.49459,4.52,2.19E-10,4.32,9.48E-09
1.48583,0.48603,4.53,1.97E-10,4.33,8.48E-09
1.48252,0.45689,4.54,1.74E-10,4.34,7.58E-09
1.47921,0.50094,4.55,1.54E-10,4.35,6.78E-09
1.47591,0.49749,4.56,1.35E-10,4.36,6.06E-09
1.47262,0.45462,4.57,1.20E-10,4.37,5.41E-09
1.46934,0.4737,4.58,1.07E-10,4.38,4.83E-09
1.46606,0.48832,4.59,9.41E-11,4.39,4.32E-09
1.46279,0.49974,4.6,8.28E-11,4.4,3.85E-09
1.45952,0.51251,4.61,7.46E-11,4.41,3.44E-09
1.45627,0.4901,4.62,6.56E-11,4.42,3.07E-09
1.45302,0.50093,4.63,5.72E-11,4.43,2.73E-09
1.44977,0.50592,4.64,5.08E-11,4.44,2.44E-09
1.44654,0.55951,4.65,4.52E-11,4.45,2.17E-09
1.44331,0.55213,4.66,3.93E-11,4.46,1.93E-09
1.44008,0.49789,4.67,3.47E-11,4.47,1.72E-09
1.43687,0.51347,4.68,3.07E-11,4.48,1.53E-09
1.43366,0.54037,4.69,2.71E-11,4.49,1.36E-09
1.43045,0.50102,4.7,2.40E-11,4.5,1.21E-09
1.42726,0.55393,4.71,2.10E-11,4.51,1.08E-09
1.42407,0.5331,4.72,1.85E-11,4.52,9.59E-10
1.42088,0.52486,4.73,1.64E-11,4.53,8.52E-10
1.41771,0.55472,4.74,1.44E-11,4.54,7.57E-10
1.41454,0.54381,4.75,1.26E-11,4.55,6.72E-10
1.41137,0.56913,4.76,1.12E-11,4.56,5.97E-10
1.40822,0.55213,4.77,9.81E-12,4.57,5.29E-10
1.40507,0.56138,4.78,8.72E-12,4.58,4.70E-10
1.40192,0.56863,4.79,7.61E-12,4.59,4.16E-10
1.39879,0.54474,4.8,6.67E-12,4.6,3.69E-10
1.39565,0.59814,4.81,5.84E-12,4.61,3.27E-10
1.39253,0.5504,4.82,5.18E-12,4.62,2.90E-10
